,Município,Região,UF,Reg_Metropolitana,Mun_Reg_Geog_Imediata,Mun_Reg_Geog_Intermediária,Tipo_Conc_Urbana,Hierarquia_Urbana,Hier_Urbana_princ_categ,Região_rural,Amazônia_Legal,Semiárido,Cid_Região_São_Paulo,PIB_per_capita,VAB_Indústria/Total,VAB_Serviço/Total,VAB_Adm/Total,VAB_Agricultura/Total,Capag_real,Capag_predito
390,Muricilândia,Norte,Tocantins,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,12237,0.020039649365849,0.1277378364821936,0.5447727327011728,0.3074258962906346,1,1
391,Natividade,Norte,Tocantins,Não,do Entorno,do Entorno,,Centro de Zona B,Centro de Zona,Região Rural de Capital Regional,Sim,Não,Não,18906,0.2560059052476178,0.2935664523370872,0.3396798477324581,0.1107355937580069,1,1
392,Nazaré,Norte,Tocantins,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,11135,0.04901705661091529,0.204206193371342,0.6146767287265501,0.1320527075299851,1,1
393,Nova Olinda,Norte,Tocantins,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,22556,0.1142710573920243,0.4844302646855003,0.3270184406865083,0.07427573731246569,0,0
394,Nova Rosalândia,Norte,Tocantins,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,13059,0.02698279799056173,0.206424113259248,0.5059560054802862,0.2605990257268991,0,1
395,Novo Acordo,Norte,Tocantins,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,12226,0.03082950767769511,0.1910717112553427,0.5445622922273231,0.2334771252176666,,1
396,Novo Alegre,Norte,Tocantins,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,11733,0.04349809885931559,0.1992395437262357,0.6014068441064638,0.1558174904942966,1,1
397,Novo Jardim,Norte,Tocantins,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,10826,0.02450055197464478,0.1508137174602044,0.6765784694277269,0.1480716498700189,0,1
398,Oliveira de Fátima,Norte,Tocantins,Sim,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,18374,0.02804450541076055,0.1953970431336687,0.5483920134125896,0.2280648275161307,,1
399,Palmeirante,Norte,Tocantins,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,16197,0.03211192250854844,0.1618540131813132,0.4191053534253077,0.3869071375408545,1,1
400,Palmeirópolis,Norte,Tocantins,Sim,do Entorno,do Entorno,,Centro de Zona B,Centro de Zona,Região Rural de Capital Regional,Sim,Não,Não,15543,0.06648154783231816,0.3368864206377643,0.4350859906843425,0.1615281261196704,1,1
401,Paraíso do Tocantins,Norte,Tocantins,Sim,Polo,do Entorno,,Centro de Zona A,Centro de Zona,Região Rural de Capital Regional,Sim,Não,Não,24316,0.1586794810259207,0.5446136922648808,0.2769558177278169,0.01975007517168091,,0
402,Paranã,Norte,Tocantins,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,20584,0.4450016230856069,0.1177972548050601,0.3186964926815797,0.118499784396091,1,1
403,Pau D'Arco,Norte,Tocantins,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,14295,0.02399094681252358,0.1652357600905319,0.4643379856657865,0.346420218785364,1,1
404,Pedro Afonso,Norte,Tocantins,Não,do Entorno,do Entorno,,Centro de Zona B,Centro de Zona,Região Rural de Capital Regional,Sim,Não,Não,39844,0.1268063339860895,0.3227302653791613,0.1762652778715646,0.3741960125599298,0,0
405,Peixe,Norte,Tocantins,Sim,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,45449,0.5585547924753658,0.08084647318891533,0.1486856933701924,0.2119111145358749,,1
406,Pequizeiro,Norte,Tocantins,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,13864,0.02623209248299132,0.1841777753194314,0.4949665357597212,0.2945959400409315,1,1
407,Colméia,Norte,Tocantins,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,17497,0.05608738887157338,0.4326624812621518,0.3737106134140731,0.1375246745922199,1,1
408,Pindorama do Tocantins,Norte,Tocantins,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,11891,0.03586017282010998,0.186783189316575,0.5614100549882168,0.2159073055773763,1,1
409,Piraquê,Norte,Tocantins,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,17048,0.01919602977667494,0.1043573200992556,0.4194342431761787,0.4569727047146402,1,1
410,Pium,Norte,Tocantins,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,20802,0.03230351078888084,0.1437609234511128,0.319466503631736,0.5044557712371825,1,1
411,Ponte Alta do Bom Jesus,Norte,Tocantins,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,10263,0.04347147602380899,0.2019528724613773,0.6159573756604321,0.1385959827897541,1,1
412,Ponte Alta do Tocantins,Norte,Tocantins,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,10574,0.04022824536376605,0.2023072629163307,0.6013769149661974,0.1560627674750357,0,1
413,Porto Alegre do Tocantins,Norte,Tocantins,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,10003,0.02896611700170586,0.195604910191658,0.6883968291132889,0.08699869552128976,1,1
414,Porto Nacional,Norte,Tocantins,Sim,Polo,do Entorno,,Centro de Zona A,Centro de Zona,Região Rural de Capital Regional,Sim,Não,Não,31830,0.1159175090870734,0.5107457452437687,0.2367328728985602,0.1366024893912093,1,1
415,Praia Norte,Norte,Tocantins,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,8623,0.0199566590654788,0.1412404572043681,0.7314420067135957,0.1073325496083736,,1
416,Presidente Kennedy,Norte,Tocantins,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,13356,0.03230552993367593,0.2948346290683885,0.4995607677779242,0.1732551499978038,1,1
417,Pugmil,Norte,Tocantins,Sim,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,21246,0.1113474900460614,0.3796354126005153,0.3689788430010149,0.1400382543524085,,1
418,Recursolândia,Norte,Tocantins,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Centro Sub-regional,Sim,Não,Não,10154,0.01788742148878752,0.1560910371838655,0.6601151099754018,0.1658586678766747,1,1
419,Riachinho,Norte,Tocantins,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,10217,0.02851453081232493,0.1481311274509804,0.6605392156862745,0.1627932422969188,,1
420,Rio da Conceição,Norte,Tocantins,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,10106,0.02510298037315241,0.1629270656651321,0.7868185122364914,0.02510298037315241,1,1
421,Rio dos Bois,Norte,Tocantins,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,17939,0.05126322872698354,0.1445729083827818,0.3930384780081972,0.4111049937807141,1,1
422,Rio Sono,Norte,Tocantins,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,10160,0.03058667801257505,0.1461888778581446,0.6110874738019824,0.2121212121212121,,1
423,Sampaio,Norte,Tocantins,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,8501,0.02122782798947725,0.1580235980517282,0.733050295626807,0.08762013908785456,0,0
424,Sandolândia,Norte,Tocantins,Sim,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,20944,0.02229827836548434,0.1853201766082911,0.3234657895516638,0.4689009393427564,,0
425,Santa Fé do Araguaia,Norte,Tocantins,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,15305,0.03678818026579553,0.2162465661890267,0.4298017670205657,0.3171449253842156,1,1
426,Santa Maria do Tocantins,Norte,Tocantins,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,15640,0.02443260542903421,0.1554553792713151,0.4347130339753723,0.3853599516031458,,1
427,Santa Rita do Tocantins,Norte,Tocantins,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,38902,0.0267547814531821,0.2805396041953396,0.2156874377105975,0.4770063119927863,0,0
428,Santa Rosa do Tocantins,Norte,Tocantins,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,31072,0.04263083390833624,0.2749414919724852,0.2249980438045512,0.4574154034386359,1,1
429,Santa Tereza do Tocantins,Norte,Tocantins,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,11319,0.02848443178469699,0.2009298366237763,0.6353665324296893,0.1351537177094588,,1
430,Santa Terezinha do Tocantins,Norte,Tocantins,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,11388,0.0277418891759977,0.1487582543784094,0.6161355153603215,0.2072925638817112,1,1
431,São Bento do Tocantins,Norte,Tocantins,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,10112,0.0258051807347582,0.1773859942874027,0.6325815030040383,0.1642076233625529,,1
432,São Félix do Tocantins,Norte,Tocantins,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,13674,0.03064748201438849,0.1917026378896882,0.631462829736211,0.1460911270983213,,1
433,São Miguel do Tocantins,Norte,Tocantins,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,8836,0.04009638742280714,0.2038574480746905,0.702457489049101,0.05357891964137635,1,1
434,São Salvador do Tocantins,Norte,Tocantins,Sim,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,11937,0.02713857635551535,0.2020975857974784,0.6134731723864986,0.1572623961101374,1,1
435,São Sebastião do Tocantins,Norte,Tocantins,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,9736,0.04691718673925552,0.1517948037002611,0.653875094055681,0.1473686540078785,,1
436,São Valério,Norte,Tocantins,Sim,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,22803,0.02926011560693642,0.2447514450867052,0.3086589595375723,0.4173179190751445,1,1
437,Silvanópolis,Norte,Tocantins,Sim,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,28955,0.02732640953658503,0.3794858320310879,0.2379098615701622,0.355264067707541,0,0
438,Sítio Novo do Tocantins,Norte,Tocantins,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,11252,0.03983359228064437,0.2170557690735138,0.6283117998200998,0.1147886172213591,,1
439,Sucupira,Norte,Tocantins,Sim,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,32985,0.02770396066387664,0.1093200515570549,0.2413315723310472,0.621612590105501,0,0
440,Taguatinga,Norte,Tocantins,Não,do Entorno,do Entorno,,Centro de Zona B,Centro de Zona,Região Rural de Capital Regional,Sim,Não,Não,14648,0.1309615056127611,0.3168155081267875,0.44185109430227,0.1103631322842164,1,1
441,Taipas do Tocantins,Norte,Tocantins,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,10878,0.02159394479073909,0.16233303650935,0.6792074799643811,0.1367319679430098,1,1
442,Talismã,Norte,Tocantins,Sim,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,29682,0.03995560488346282,0.2104813298123413,0.2835036421855665,0.4660594231186294,1,1
443,Palmas,Norte,Tocantins,Sim,Polo,Polo,Média concentração urbana,Capital Regional B,Capital Regional,Região Rural de Capital Regional,Sim,Não,Não,32293,0.1410835139591141,0.6028078384055935,0.2498378789456826,0.006270400232668277,0,0
444,Tocantínia,Norte,Tocantins,Sim,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,9623,0.02704027919989617,0.1739951832249318,0.6541295914394082,0.144791681689044,1,1
445,Tocantinópolis,Norte,Tocantins,Não,Polo,do Entorno,,Centro de Zona A,Centro de Zona,Região Rural de Capital Regional,Sim,Não,Não,12913,0.07856231626823451,0.3906410043078744,0.5005454175679923,0.03024386636345147,0,0
446,Tupirama,Norte,Tocantins,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,26430,0.03473671033964783,0.1346282233163648,0.292998414420429,0.5375949261453726,1,1
447,Tupiratins,Norte,Tocantins,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,11391,0.02644766146993318,0.1495684855233853,0.6508908685968819,0.1730233853006682,1,1
448,Wanderlândia,Norte,Tocantins,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,12089,0.1512514283030977,0.2302268067055896,0.5177500900026609,0.1007638486703085,0,0
449,Xambioá,Norte,Tocantins,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,25166,0.4214069628574765,0.2358940162825831,0.2729875639040525,0.06970768958359234,,1
450,Açailândia,Nordeste,Maranhão,Não,Polo,do Entorno,Média concentração urbana,Centro de Zona A,Centro de Zona,Região Rural de Centro de zona,Sim,Não,Não,23289,0.4151716348864745,0.3321865517308027,0.1710054731230415,0.08163592009055486,1,1
451,Afonso Cunha,Nordeste,Maranhão,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Centro Sub-regional,Não,Não,Não,7765,0.03942586467393524,0.2093593041773858,0.486034546122749,0.2651394503654702,,1
452,Água Doce do Maranhão,Nordeste,Maranhão,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Centro Sub-regional,Não,Não,Não,6901,0.03752679187706615,0.2973202068272363,0.5947130695922791,0.07041571305748295,,1
453,Alcântara,Nordeste,Maranhão,Sim,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,5880,0.05998805565419505,0.268554088517287,0.5670739580979436,0.1043677567227298,,1
454,Aldeias Altas,Nordeste,Maranhão,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Centro Sub-regional,Não,Não,Não,6895,0.04575379476627204,0.2155336042727102,0.515683513927918,0.2230233870462098,0,1
455,Altamira do Maranhão,Nordeste,Maranhão,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Centro Sub-regional,Sim,Não,Não,7008,0.03334608169881076,0.2191079786555938,0.5231564952922108,0.2243712324027027,1,1
456,Alto Alegre do Maranhão,Nordeste,Maranhão,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Centro Sub-regional,Sim,Não,Não,10020,0.06219441051920309,0.5706407463832894,0.3400232510313973,0.02712900125488419,,1
457,Alto Alegre do Pindaré,Nordeste,Maranhão,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Centro Sub-regional,Sim,Não,Não,5980,0.04010001230576469,0.2579400149906588,0.5823423463737148,0.1196120328004564,1,1
458,Alto Parnaíba,Nordeste,Maranhão,Não,do Entorno,do Entorno,,Centro de Zona B,Centro de Zona,Região Rural de Capital Regional,Sim,Não,Não,31263,0.04121452114190368,0.2037019629039934,0.1194046073310733,0.6356730334240073,,1
459,Amapá do Maranhão,Nordeste,Maranhão,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Centro Sub-regional,Sim,Não,Não,7446,0.03138156948922799,0.3123780575465692,0.4944034831899119,0.1617958144215564,1,1
460,Amarante do Maranhão,Nordeste,Maranhão,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Centro de zona,Sim,Não,Não,7638,0.03297572404299254,0.2481038545030974,0.4757935352358765,0.2431202679091438,1,1
461,Anajatuba,Nordeste,Maranhão,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,6692,0.03423743370124067,0.246962153128373,0.5140837714564256,0.2047050358042315,1,1
462,Anapurus,Nordeste,Maranhão,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Centro Sub-regional,Não,Não,Não,8464,0.04566344614453321,0.3043512891381054,0.4528590430827804,0.1971182566169384,1,1
463,Apicum-Açu,Nordeste,Maranhão,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,6388,0.03634075655887736,0.2515729865771812,0.5679053538743136,0.144161836485662,,1
464,Araguanã,Nordeste,Maranhão,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Centro Sub-regional,Sim,Não,Não,5309,0.02865296511479102,0.2216989583066725,0.6217015177497377,0.127920964398147,1,1
465,Araioses,Nordeste,Maranhão,Não,Polo,do Entorno,,Centro de Zona B,Centro de Zona,Região Rural de Centro Sub-regional,Não,Sim,Não,5853,0.03542240685830648,0.2869428694675563,0.5546841906864136,0.1229505329877236,,1
466,Arame,Nordeste,Maranhão,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Centro de zona,Sim,Não,Não,7157,0.03453730199860301,0.2945314436357901,0.4506207611365224,0.2203059867961515,,1
467,Arari,Nordeste,Maranhão,Não,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,8528,0.04284147770957537,0.3552603385472466,0.4235285714885911,0.1783612094934395,1,1
468,Axixá,Nordeste,Maranhão,Sim,do Entorno,do Entorno,,Centro Local,Centro Local,Região Rural de Capital Regional,Sim,Não,Não,6127,0.04068308091491102,0.2507826381250529,0.5500606368277068,0.1584454409566517,,1
469,Bacabal,Nordeste,Maranhão,Não,Polo,do Entorno,Média concentração urbana,Centro Subregional A,Centro Subregional,Região Rural de Centro Sub-regional,Sim,Não,Não,10881,0.07712719048981527,0.6018129475536672,0.2709955827653379,0.05006329932546044,1,1
